date,temp,skt,dir,vel,hr,prec,pres,temp_jci,skt_jci,dir_jci,vel_jci,hr_jci,prec_jci,pres_jci
2005-01-09 15:00:00+00:00,1.2,1.6,197.0,3.0,65.0,0.0,977.2,1,1,1,1,1,1,1
2005-01-09 18:00:00+00:00,1.5,1.9,203.0,4.0,67.0,0.0,979.0,1,1,1,1,1,1,1
2005-01-09 21:00:00+00:00,1.8,2.3,231.0,2.6,71.0,0.0,981.4,1,1,1,1,1,1,1
2005-01-10 00:00:00+00:00,1.4,1.4,197.0,2.9,71.0,0.0,982.5,1,1,1,1,1,1,1
2005-01-10 03:00:00+00:00,1.2,0.9,279.0,0.4,78.0,0.0,983.4,1,1,1,1,1,1,1
2005-01-10 06:00:00+00:00,1.1,0.8,114.0,0.6000000000000001,84.0,0.0,983.6,1,1,1,1,1,1,1
2005-01-10 09:00:00+00:00,1.6,1.4,35.0,1.2,81.0,0.0,983.2,1,1,1,1,1,1,1
2005-01-10 12:00:00+00:00,3.6,4.9,28.0,3.6,65.0,0.0,981.7,1,1,1,1,1,1,1
2005-01-10 15:00:00+00:00,4.4,4.2,65.0,5.3,57.0,0.0,978.5,1,1,1,1,1,1,1
2005-01-10 18:00:00+00:00,3.8,3.4,72.0,8.7,64.0,0.0,974.5,1,1,1,1,1,1,1
2005-01-10 21:00:00+00:00,6.0,5.9,39.0,4.6,70.0,0.0,971.8,1,1,1,1,1,1,1
2005-01-11 00:00:00+00:00,3.5,3.3,8.0,5.8,85.0,0.0,971.9,1,1,1,1,1,1,1
2005-01-11 03:00:00+00:00,3.3,2.9,39.0,1.5,88.0,,972.7,1,1,1,1,1,1,1
2005-01-11 06:00:00+00:00,2.4,2.2,349.0,4.4,90.0,,972.0,1,1,1,1,1,1,1
2005-01-11 09:00:00+00:00,3.6,3.2,21.0,5.6,83.0,0.0,971.3,1,1,1,1,1,1,1
2005-01-11 12:00:00+00:00,3.4,3.4,6.0,3.6,82.0,0.0,971.4,1,1,1,1,1,1,1
2005-01-11 15:00:00+00:00,3.9,4.1,270.0,0.2,81.0,0.0,971.7,1,1,1,1,1,1,1
2005-01-11 18:00:00+00:00,5.3,7.1,333.0,3.1,74.0,0.0,971.8,1,1,1,1,1,1,1
2005-01-11 21:00:00+00:00,5.9,5.3,72.0,7.2,63.0,0.0,971.3,1,1,1,1,1,1,1
2005-01-12 00:00:00+00:00,3.2,2.9,65.0,11.6,69.0,0.0,971.8,1,1,1,1,1,1,1
2005-01-12 03:00:00+00:00,2.3,2.0,71.0,10.6,73.0,0.0,973.2,1,1,1,1,1,1,1
2005-01-12 06:00:00+00:00,2.2,2.0,77.0,9.1,72.0,0.0,972.9,1,1,1,1,1,1,1
2005-01-12 09:00:00+00:00,2.5,2.3,119.0,6.9,69.0,0.0,974.5,1,1,1,1,1,1,1
2005-01-12 12:00:00+00:00,3.1,3.2,92.0,1.7000000000000002,70.0,0.0,975.6,1,1,1,1,1,1,1
2005-01-12 15:00:00+00:00,2.6,3.5,213.0,2.9,79.0,0.0,977.5,1,1,1,1,1,1,1
2005-01-12 18:00:00+00:00,2.7,4.1,287.0,2.1,75.0,0.0,979.7,1,1,1,1,1,1,1
2005-01-12 21:00:00+00:00,2.6,3.6,347.0,0.9,76.0,0.0,981.5,1,1,1,1,1,1,1
2005-01-13 00:00:00+00:00,2.4,2.4,208.0,3.5,75.0,0.0,983.9,1,1,1,1,1,1,1
2005-01-13 03:00:00+00:00,1.8,1.7000000000000002,219.0,1.5,82.0,0.0,984.9,1,1,1,1,1,1,1
2005-01-13 06:00:00+00:00,1.5,1.3,207.0,1.8,85.0,0.0,985.6,1,1,1,1,1,1,1
2005-01-13 09:00:00+00:00,1.6,1.3,207.0,1.0,84.0,0.0,986.4,1,1,1,1,1,1,1
2005-01-13 12:00:00+00:00,2.1,2.4,234.0,1.2,79.0,0.0,986.2,1,1,1,1,1,1,1
2005-01-13 15:00:00+00:00,2.2,3.0,335.0,1.3,80.0,0.0,986.1,1,1,1,1,1,1,1
2005-01-13 18:00:00+00:00,2.5,3.6,345.0,0.8,78.0,0.0,985.8,1,1,1,1,1,1,1
2005-01-13 21:00:00+00:00,2.9,2.8,107.0,3.3,71.0,0.0,985.2,1,1,1,1,1,1,1
2005-01-14 00:00:00+00:00,1.2,0.9,56.0,4.9,77.0,0.0,984.8,1,1,1,1,1,1,1
2005-01-14 03:00:00+00:00,0.5,0.1,56.0,5.6,74.0,0.0,983.6,1,1,1,1,1,1,1
2005-01-14 06:00:00+00:00,0.7000000000000001,0.4,113.0,2.0,75.0,0.0,981.2,1,1,1,1,1,1,1
2005-01-14 09:00:00+00:00,1.3,1.1,3.0,2.0,62.0,0.0,979.2,1,1,1,1,1,1,1
